FEN	moves
"8/1p3p1k/6r1/p1p2KR1/P2pP3/1P1P4/2P5/8 b - - 8 52"	"g6g5 f5g5"
"5rk1/p5pp/4Q3/8/1P1P4/2P1q2P/P2p1RP1/5RK1 b - - 0 30"	"e3e6 f2f8"
"6k1/5ppq/8/p2r2B1/1p6/5P2/6PP/R3R2K b - - 0 37"	"d5g5 e1e8"
"3k4/pp1P4/3KPr2/8/8/8/PP4Rp/8 b - - 0 56"	"h2h1q g2g8 f6f8 g8f8"
"6k1/p4p1p/4r1pP/1pKR1pP1/1P3r2/2P5/8/8 b - - 0 40"	"a7a6 d5d8 e6e8 d8e8"
"1r6/1P6/3p4/3B1k2/2P3p1/6Pp/2r1RK1P/8 b - - 4 44"	"c2e2 f2e2"
"B1r3k1/p1p2ppp/1p4q1/2p1P3/2b2Pn1/P5P1/3R3P/3R2K1 b - - 0 23"	"c8a8 d2d8 a8d8 d1d8"
"5b2/5p2/2k1p1P1/p1p1Pn1K/1pP5/1P1N4/P2B4/8 b - - 0 49"	"f7g6 h5g6"
"3r2k1/1pp2ppp/p1p1rq2/6Q1/4P1b1/3P1N2/PPPN1PK1/R4R2 b - - 9 19"	"f6g5 f3g5"

